episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
199,0.001583,0.002201,-0.000002,0.000000,-1.987979,0.000010,30,949.966628
200,0.001521,0.002263,-0.000001,0.000000,-1.984981,0.000091,30,954.763193
201,0.001555,0.002229,0.000001,0.000000,-1.981982,0.000035,30,959.524898
202,0.001591,0.002193,0.000001,0.000000,-1.978980,0.000032,30,964.413204
203,0.001610,0.002174,0.000001,0.000000,-1.975982,0.000045,30,969.249441
204,0.001538,0.002246,-0.000000,0.000000,-1.972979,0.000038,30,973.988875
205,0.001522,0.002263,0.000003,0.000000,-1.969975,0.000020,30,978.921418
206,0.001581,0.002204,-0.000002,0.000000,-1.966975,0.000153,30,983.668778
207,0.001552,0.002232,-0.000001,0.000000,-1.963977,0.000096,30,988.496660
208,0.001611,0.002173,-0.000001,0.000000,-1.960976,0.000127,30,993.336829
209,0.001442,0.002342,0.000000,0.000000,-1.957974,0.000121,30,998.132402
210,0.001412,0.002373,0.000001,0.000000,-1.954975,0.000048,30,1002.993119
211,0.001428,0.002356,0.000000,0.000000,-1.951978,0.000089,30,1007.852493
212,0.001378,0.002406,0.000001,0.000000,-1.948978,0.000056,30,1012.724936
213,0.001415,0.002369,-0.000001,0.000000,-1.945974,0.000051,30,1017.638664
214,0.001394,0.002391,-0.000001,0.000000,-1.942973,0.000222,30,1022.543466
215,0.001431,0.002353,-0.000001,0.000000,-1.939974,0.000094,30,1027.511144
216,0.001423,0.002361,0.000002,0.000000,-1.936973,0.000014,30,1032.410816
217,0.001370,0.002414,-0.000002,0.000000,-1.933974,0.000019,30,1037.384111
218,0.001420,0.002364,0.000001,0.000000,-1.930974,0.000137,30,1042.218338
219,0.001386,0.002398,0.000001,0.000000,-1.927971,0.000017,30,1047.160045
220,0.001419,0.002366,-0.000000,0.000000,-1.924968,0.000023,30,1051.922706
221,0.001473,0.002311,0.000000,0.000000,-1.921966,0.000017,30,1056.847046
222,0.001316,0.002468,0.000000,0.000000,-1.918964,0.000022,30,1061.899602
223,0.001406,0.002378,-0.000001,0.000000,-1.915960,0.000085,30,1066.865057
224,0.001413,0.002372,-0.000001,0.000000,-1.912956,0.000020,30,1071.749066
225,0.001343,0.002441,0.000000,0.000000,-1.909952,0.000017,30,1076.663312
226,0.001369,0.002415,-0.000002,0.000000,-1.906952,0.000124,30,1081.819325
227,0.001353,0.002431,0.000001,0.000000,-1.903954,0.000029,30,1086.760703
228,0.001446,0.002339,0.000000,0.000000,-1.900950,0.000056,30,1091.575955
229,0.001374,0.002410,0.000000,0.000000,-1.897946,0.000010,30,1096.514833
230,0.001429,0.002355,-0.000002,0.000000,-1.894946,0.000031,30,1101.449448
231,0.001199,0.002585,-0.000000,0.000000,-1.891946,0.000071,30,1106.365544
232,0.001354,0.002431,0.000001,0.000000,-1.888944,0.000022,30,1111.367449
233,0.001406,0.002379,-0.000001,0.000000,-1.885940,0.000021,30,1116.265495
234,0.001401,0.002383,0.000001,0.000000,-1.882940,0.000029,30,1121.205632
235,0.001419,0.002365,0.000000,0.000000,-1.879939,0.000019,30,1126.004420
236,0.001408,0.002376,-0.000000,0.000000,-1.876935,0.000085,30,1131.063555
237,0.001369,0.002416,-0.000000,0.000000,-1.873933,0.000020,30,1136.003319
238,0.001412,0.002372,-0.000001,0.000000,-1.870929,0.000010,30,1141.047750
239,0.001380,0.002405,-0.000000,0.000000,-1.867926,0.000007,30,1145.917481
240,0.001513,0.002272,0.000001,0.000000,-1.864923,0.000003,30,1150.883625
241,0.001281,0.002503,-0.000002,0.000000,-1.861922,0.000047,30,1155.788997
