episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
163,0.001074,0.718815,-0.000349,0.001941,0.043230,0.005519,6,0.000098,734.986187
164,0.000955,0.750025,0.000054,0.001854,0.043806,0.004240,6,0.000098,739.722657
165,0.001041,0.727337,-0.000213,0.004286,0.044501,0.004073,11,0.000098,744.662041
166,0.000930,0.756532,-0.000055,0.000694,0.044811,0.004680,6,0.000098,749.494588
167,0.000994,0.739667,-0.000184,0.002163,0.045057,0.003272,5,0.000098,754.636020
168,0.000958,0.749056,-0.000004,0.000382,0.045360,0.005748,4,0.000098,759.681617
169,0.001183,0.690141,-0.000053,0.005244,0.045836,0.003972,7,0.000098,764.786952
170,0.001030,0.730245,0.000013,0.002167,0.046400,0.004142,4,0.000098,769.907806
171,0.001010,0.735424,0.000119,0.002652,0.046898,0.004532,5,0.000098,774.947544
172,0.001108,0.709836,-0.000105,0.001826,0.047372,0.005756,6,0.000098,779.504552
173,0.001133,0.703396,-0.001245,0.008305,0.047569,0.010653,3,0.000098,784.204757
174,0.001028,0.730722,-0.000302,0.000546,0.047603,0.006315,3,0.000098,789.182083
175,0.001119,0.706937,-0.000408,0.002901,0.047660,0.007291,4,0.000098,793.974414
176,0.000994,0.739665,-0.000269,0.001196,0.047843,0.005526,4,0.000098,798.902377
177,0.001532,0.598929,0.001078,0.048161,0.048116,0.003901,5,0.000098,803.393598
178,0.001189,0.688589,-0.000106,0.010575,0.048214,0.004494,5,0.000098,807.987263
179,0.001118,0.707295,0.000212,0.005623,0.048321,0.006156,5,0.000098,812.709775
180,0.001072,0.719193,-0.000556,0.002747,0.048369,0.005868,6,0.000098,817.467195
181,0.001139,0.701702,-0.000509,0.001630,0.048201,0.009058,3,0.000098,822.432072
182,0.001114,0.708374,-0.000680,0.001828,0.047992,0.014868,3,0.000098,827.101943
183,0.001396,0.634433,-0.000225,0.020519,0.047788,0.014021,3,0.000098,831.654536
184,0.001186,0.689449,0.000059,0.004013,0.047765,0.005191,3,0.000098,836.369378
185,0.001231,0.677737,-0.000332,0.002102,0.047993,0.003540,4,0.000098,841.191582
186,0.001242,0.674687,-0.001341,0.002450,0.048468,0.006937,2,0.000098,846.058166
187,0.001168,0.694051,0.000063,0.004024,0.048908,0.008483,2,0.000098,850.684073
188,0.000997,0.739040,-0.000435,0.007265,0.049366,0.006839,2,0.000098,855.399592
189,0.001251,0.672465,0.000272,0.002702,0.049895,0.014227,3,0.000098,859.762546
190,0.001164,0.695160,-0.000023,0.002972,0.050346,0.004984,5,0.000098,864.341068
191,0.001031,0.730046,-0.000759,0.001996,0.050450,0.007427,3,0.000098,869.236218
192,0.001187,0.689211,-0.000180,0.002545,0.050366,0.010184,3,0.000098,874.007852
193,0.001252,0.672265,-0.000222,0.004045,0.050242,0.008197,3,0.000098,879.259655
194,0.001143,0.700823,-0.000234,0.001756,0.050134,0.006022,3,0.000098,884.218920
195,0.001025,0.731565,0.000240,0.001643,0.050134,0.006124,5,0.000098,889.210177
196,0.001010,0.735609,0.000131,0.001007,0.050465,0.003691,6,0.000098,894.432494
197,0.001009,0.735851,-0.000106,0.000655,0.051236,0.006482,13,0.000098,899.308804
198,0.001158,0.696891,0.000294,0.008434,0.051511,0.004038,3,0.000098,903.942972
199,0.001002,0.737588,-0.000142,0.000847,0.051582,0.005979,4,0.000098,908.609265
200,0.001051,0.724725,-0.000136,0.001076,0.051965,0.004148,6,0.000098,913.781756
201,0.001040,0.727574,0.000144,0.001218,0.052520,0.006431,4,0.000098,918.751694
202,0.001023,0.732077,-0.000055,0.002689,0.052951,0.002601,9,0.000098,923.581642
203,0.000962,0.748016,-0.000251,0.000751,0.053104,0.006306,4,0.000098,928.552058
204,0.001020,0.732809,0.000043,0.000587,0.053104,0.005506,4,0.000097,933.454438
205,0.001059,0.722617,-0.000074,0.001547,0.053136,0.004373,4,0.000097,938.142415
206,0.001001,0.737771,-0.000108,0.000272,0.053635,0.003445,11,0.000097,943.123516
207,0.001125,0.705508,0.000005,0.002837,0.054484,0.008893,4,0.000097,948.085583
208,0.000964,0.747649,-0.000373,0.001025,0.054870,0.004535,4,0.000097,952.861912
209,0.001488,0.610352,-0.001354,0.040893,0.055136,0.006525,4,0.000097,957.494041
210,0.000985,0.742121,-0.000118,0.003525,0.055455,0.003316,10,0.000097,962.560864
211,0.001027,0.731147,-0.000096,0.001009,0.056099,0.002973,9,0.000097,967.354487
212,0.000994,0.739826,-0.000427,0.000928,0.056107,0.006517,3,0.000097,972.059006
213,0.001011,0.735281,0.000181,0.001377,0.056009,0.006302,3,0.000097,977.190739
214,0.001016,0.733925,0.000266,0.000645,0.055990,0.004995,4,0.000097,981.848688
215,0.001024,0.731920,-0.000190,0.001273,0.056337,0.004596,6,0.000097,986.677434
216,0.000978,0.743835,0.000010,0.000551,0.057037,0.008767,3,0.000097,991.808639
217,0.000925,0.757770,0.000100,0.001032,0.057617,0.008320,4,0.000097,996.749109
218,0.001189,0.688542,-0.000580,0.011468,0.058101,0.003867,4,0.000097,1001.496121
219,0.000993,0.739886,-0.000209,0.000559,0.058310,0.005377,4,0.000097,1006.336100
220,0.001046,0.726093,0.000257,0.000693,0.058357,0.005254,4,0.000097,1011.532817
221,0.001168,0.694213,-0.000280,0.003205,0.058364,0.006657,5,0.000097,1016.828904
222,0.001005,0.736757,0.000074,0.001242,0.058454,0.004255,4,0.000097,1021.579168
223,0.001209,0.683481,0.000123,0.002140,0.058920,0.003870,10,0.000097,1026.265184
224,0.000985,0.741961,-0.000038,0.001990,0.059786,0.004025,19,0.000097,1031.263417
225,0.000946,0.752247,-0.000133,0.000568,0.060535,0.003701,13,0.000097,1036.385741
226,0.001001,0.737866,-0.000169,0.000764,0.061286,0.002265,10,0.000097,1041.348229
227,0.000938,0.754420,0.000017,0.000500,0.062602,0.004166,18,0.000097,1047.247324
228,0.001068,0.720259,0.000184,0.002462,0.063263,0.004855,7,0.000097,1052.734121
229,0.000966,0.747016,-0.000167,0.001273,0.063703,0.003008,6,0.000097,1057.657957
230,0.001069,0.720169,-0.000018,0.002378,0.064385,0.006331,4,0.000097,1062.575188
231,0.000965,0.747376,-0.000239,0.001101,0.064978,0.003762,12,0.000097,1067.396353
232,0.000954,0.750310,-0.000105,0.000336,0.065251,0.004383,5,0.000097,1072.343405
233,0.000992,0.740264,0.000170,0.004172,0.065272,0.005774,4,0.000097,1077.006762
234,0.001017,0.733563,0.000038,0.001370,0.065625,0.004376,11,0.000097,1082.137613
235,0.001002,0.737559,-0.000010,0.000638,0.066471,0.006323,4,0.000097,1087.046004
236,0.000997,0.738951,-0.000049,0.001194,0.067031,0.005485,5,0.000097,1092.376985
237,0.000968,0.746475,-0.000292,0.000523,0.067495,0.003017,7,0.000097,1097.145241
238,0.001006,0.736473,-0.000331,0.001242,0.067606,0.004951,4,0.000097,1102.387396
239,0.000937,0.754627,-0.000146,0.000439,0.067633,0.004040,4,0.000097,1107.531289
240,0.000954,0.750082,0.000096,0.000686,0.067744,0.004806,6,0.000097,1112.666282
241,0.001047,0.725735,0.000009,0.002345,0.068264,0.002168,9,0.000096,1117.552897
242,0.000967,0.746675,-0.000060,0.000656,0.069049,0.004001,5,0.000096,1122.350005
243,0.000982,0.742979,-0.000070,0.000402,0.069751,0.004687,8,0.000096,1126.697490
244,0.000976,0.744382,-0.000038,0.000550,0.070193,0.004231,6,0.000096,1130.859811
245,0.001130,0.704193,-0.000029,0.005349,0.070278,0.004420,4,0.000096,1135.097373
246,0.001014,0.734497,0.000180,0.000719,0.070755,0.006532,13,0.000096,1139.305241
247,0.000932,0.755887,-0.000113,0.000464,0.071958,0.005785,14,0.000096,1143.440026
248,0.001159,0.696394,-0.000595,0.010290,0.072331,0.003470,4,0.000096,1147.347314
249,0.001011,0.735248,-0.000039,0.000627,0.072657,0.005626,7,0.000096,1151.625343
250,0.000993,0.739981,-0.000273,0.001281,0.073325,0.008113,3,0.000096,1155.773410
251,0.001005,0.736888,-0.000146,0.001221,0.073789,0.004935,3,0.000096,1159.986030
252,0.000927,0.757305,0.000092,0.001510,0.074266,0.007849,4,0.000096,1164.176269
253,0.001324,0.653326,-0.002932,0.041344,0.074597,0.005126,4,0.000096,1168.020876
254,0.000972,0.745376,-0.000224,0.001083,0.074650,0.006342,5,0.000096,1172.593540
255,0.001013,0.734653,-0.000181,0.000832,0.074572,0.004502,4,0.000096,1176.986894
256,0.000939,0.754128,0.000007,0.001131,0.074561,0.004904,5,0.000096,1181.341864
257,0.001061,0.722186,-0.000372,0.001523,0.074670,0.004664,7,0.000096,1185.490799
258,0.001041,0.727445,0.000209,0.004492,0.074986,0.004514,10,0.000096,1189.489985
259,0.000985,0.742193,0.000068,0.000790,0.075594,0.003820,7,0.000096,1193.829529
260,0.001005,0.736784,-0.000090,0.000867,0.076399,0.003123,13,0.000096,1197.991725
261,0.001071,0.719547,-0.000144,0.002257,0.076684,0.004148,5,0.000096,1201.941419
262,0.000956,0.749603,-0.000035,0.000814,0.077023,0.002810,8,0.000096,1206.190275
263,0.000978,0.744006,0.000232,0.001483,0.077701,0.004610,6,0.000096,1210.413552
264,0.001006,0.736565,-0.000167,0.001015,0.078148,0.003830,6,0.000096,1214.602301
265,0.000976,0.744405,-0.000052,0.000630,0.078326,0.005840,6,0.000096,1218.864442
266,0.001044,0.726520,0.000548,0.006298,0.078486,0.003227,5,0.000096,1222.988516
267,0.000945,0.752526,-0.000002,0.000786,0.078812,0.005030,7,0.000096,1227.164390
268,0.001113,0.708560,0.000280,0.005929,0.079292,0.005053,6,0.000096,1231.503529
269,0.000903,0.763418,0.000079,0.001422,0.079599,0.004348,8,0.000096,1235.766719
270,0.000989,0.741137,-0.000032,0.000717,0.079800,0.003961,5,0.000096,1239.691467
271,0.001010,0.735600,-0.000004,0.002532,0.079805,0.004522,3,0.000096,1244.050287
272,0.001047,0.725808,-0.000064,0.003838,0.079746,0.006952,3,0.000096,1248.280581
273,0.000999,0.738467,-0.000138,0.000988,0.079743,0.004775,4,0.000096,1252.523275
274,0.000992,0.740154,-0.000016,0.000393,0.080029,0.003035,5,0.000095,1256.954143
275,0.000993,0.739921,-0.000101,0.000934,0.080532,0.006462,3,0.000095,1261.277602
276,0.000925,0.757906,0.000089,0.000848,0.080958,0.005591,3,0.000095,1265.536011
277,0.000968,0.746390,-0.000026,0.000338,0.081367,0.005358,5,0.000095,1269.654720
278,0.000995,0.739376,-0.000174,0.001515,0.081566,0.004232,5,0.000095,1273.634025
279,0.001317,0.655009,-0.001482,0.023116,0.081542,0.008432,3,0.000095,1277.734693
280,0.000950,0.751324,-0.000221,0.001261,0.081554,0.005725,3,0.000095,1282.057060
281,0.001048,0.725585,-0.000386,0.001292,0.081854,0.007309,5,0.000095,1286.456809
282,0.001155,0.697541,0.000617,0.002764,0.082340,0.005863,4,0.000095,1290.874864
283,0.001112,0.708938,-0.000580,0.003944,0.082690,0.007303,3,0.000095,1295.220656
284,0.000902,0.763876,-0.000095,0.003617,0.082966,0.006381,4,0.000095,1299.470603
285,0.001167,0.694534,-0.001020,0.009571,0.083058,0.003471,4,0.000095,1303.556981
286,0.000943,0.753075,-0.000235,0.001676,0.082936,0.008076,3,0.000095,1307.809705
287,0.000939,0.754240,-0.000133,0.000496,0.082749,0.008797,3,0.000095,1311.883389
288,0.001079,0.717459,-0.000131,0.004030,0.082564,0.005377,3,0.000095,1316.224674
289,0.001097,0.712714,0.000398,0.003257,0.082430,0.004724,4,0.000095,1320.688606
